228,857,2022,836,2028,957,228,993,###
237,1012,2037,984,2043,1100,222,1136,###
1852,54,2403,57,2394,151,1855,139,###
2034,151,2400,154,2388,245,2031,239,###
2033,888,2328,886,2330,1038,2036,1044,###
800,1455,1658,1455,1639,1547,800,1552,###
508,1761,1939,1755,1944,1866,514,1877,###
714,1919,1739,1913,1744,2047,711,2050,###
333,2247,1341,2244,1344,2336,336,2341,###
469,2358,2097,2361,2103,2461,464,2455,###
328,2483,1475,2483,1475,2577,322,2580,###
486,2947,1039,2950,1028,3050,461,3047,###
1411,2955,1875,2961,1878,3047,1400,3050,###
1336,3075,1905,3080,1908,3161,1330,3172,###
1944,3383,2116,3377,2114,3463,1939,3461,###
